路径	类型	新状态	依据
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5J6.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5J7.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5J9.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5K1.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5K2.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5K3.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5K5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5K6.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5K8.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5L0.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5L2.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5L3.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5L4.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5L5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5M1.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5M8.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5N1.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5N5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5N6.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5P0.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5P1.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5P2.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5P3.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5P4.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5P6.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5P8.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Q0.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Q3.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Q5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Q6.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Q8.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Q9.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5R2.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5R4.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5R5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5R6.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5R8.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5S1.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5S2.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5S8.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5S9.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5T4.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5T5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5U2.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5U4.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5U5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5U8.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5U9.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5V0.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5V3.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5W3.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5W5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5W7.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5W8.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5W9.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5X0.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5X1.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5X2.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5X3.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5X4.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5X5.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5X9.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Y0.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Y2.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Y3.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\Q9Y5Y4.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
